 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|         1|       Кобрин Работник фабрики|                                 ПТФ Кобрин ул.Советская,139|                                                            |
|         2|   Кобрин м-н "Ручайка"секция1|                    225860 г.Кобрин, ул.Дзуржинского секция1|                      30122300500110в АКБ Приорбанка г.Брест|
|         3| г.Кобрин м-н"Ручайка"секция 2|                               ПТФ,г.Кобрин,ул.Советская,139|                                                            |
|         4| г.КобринПТФ,отдел маркетинга.|                                 г.Кобрин, ул.Советская,139 |                  301 223 005 0011 в АКБ Приорбанка г.Бреста|
|         5|      ПТФ,ф-ал м-на "Ручайка" |                                  г.Кобрин, ул.Советская,139|                                                            |
|         6|          КОБРИН ПТФ отдел ВЭС|                               г.Кобрин,ул.Советская 139    |                                                            |
|         7| г.Кобрин,У-к швейных изделий |                                               ПТФ, г.Кобрин|                                                            |
|         8|      ПТФ, Диссинаторская г-па|                                                         ПТФ|                                                            |
|         9|   г.Кобрин ПТФ,ЭМЦ пряд.пр-ва|                                                ПТФ,г.Кобрин|                                                            |
|        10|              г.Кобрин,ПТФ ЦМС|                                                         ПТФ|                                                            |
|        11|г.Кобрин Транспортный цех, ПТФ|                                               ПТФ, г.Кобрин|                                                            |
|        12|             г.Кобрин,ПТФ ППХВ|                                                ПТФ г.Кобрин|                                                            |
|        13|  Агро-фирма к-з"Магдалинский"|      Кобринский р-н д.Магдалин Агро-фирма к-з"Магдалинский"|                               3012204010052 в АПБ  г.Кобрин|
|        14|          г.Кобрин,ПТФ ЦМ и ЛМ|                                                г.Кобрин ПТФ|                                                            |
|        15|г.КобринПТФ,ЭМЦ ткацкого пр-ва|                                  г.Кобрин, ул.Советская,139|                                                            |
|        16|              г.Кобрин,ПТФ,АХО|                                   г.Кобрин,ул.Советская,139|                      301220050011 в АКБ Приорбанка г.Бреста|
|        17|    г.Кобрин,ПТФ,ПРОФИЛАКТОРИЙ|                                                г.Кобрин,ПТФ|                               3012230760011 в РКЦ Приорбанк|
|        18|            г.Кобрин,ПТФ,ЭМО  |                                               ПТФ, г.Кобрин|                                                            |
|        19|            г.Кобрин,АСУП, ПТФ|                                                         ПТФ|                                                            |
|        20|г.КобринПТФ тк-ое производство|                                        ткацкое производство|                                                            |
|        21|  г.Кобрин,ПТФ,ЦЕХ МЕХАНИЗАЦИИ|                              г.Кобрин, ПТФ,ул.Советская,139|                                                            |
|        22|              г.Кобрин,ПТФ,РСЦ|                               г.Кобрин ул.Советская 139 ПТФ|                                                            |
|        23|          Кобрин, ПТФ столовая|                        г. Кобрин. ул.Советская 139 столовая|                                                            |
|        24|             Дывин п-л "ВОЛНА"|                                      Кобринский р-н,д.Дывин|                                                            |
|        25|        г.Кобрин ПТФ "Сузорье"|                             225860 г.КОБРИН ул.Спортивная 2|                    301 223 008 0010 в Приорбанке  г.Кобрина|
|        26|       г.Кобрин ОАО "Гидромаш"|                            225860 г.Кобрин ул.Советская,109|                  3012200270012 в РКЦ Белбизнесбанк г.Кобрин|
|        27|            г.Кобрин Нефтебаза|                                г.Кобрин ул.Пролетарская,184|                                   215536031 в ПСБ г.Кобрина|
|        28|                  г.Кобрин ЖКХ|                                г.Кобрин, ул.Советская 118/1|                     3012200540014 в АКБ Приорбанк г.Кобрин.|
|        29|г.КобринУпр.мех и спецработ281|                                                    г.Кобрин|                                      284035 в ПСБ г.Кобрина|
|        30|               г.КобринПТУ-153|                                 г.Кобрин,ул.Дзержинского,81|                             304 220035 0021 в АПБ г.Кобрина|
|        31|          .Кобрин з-д "СИТОМО"|           225860, г.Кобрин, ул.Пролетарская,127 з-д"Ситомо"|                            3012000150011 в АК ПСБ г.Кобрина|
|        32|          Кобрин шв.ф-ка"Лона"|                                225860,г.Кобрин,ул.Ленина,6 |                301 223 004 0018 в АКБ "Приорбанк" г.Кобрина|
|        33|        г.Кобрин"Райсельстрой"|                                  г.Кобрин, ул.Никольская,64|                                      384102 в АКБ г.Кобрина|
|        34|                г.Кобрин АП 16|                                    г.Кобрин,ул.Советская,76|               301 200 020 0017  в РОМСТРОЙБАНКЕ   г.Кобрина|
|        35|        г.Кобрин Рай. больница|                                   г.Кобрин,ул.Советская,132|                             3033000000472 в АСБ Беларусбанк|
|        36|               Кобрин ХПУ-ДПО |                                   г.Кобрин, ул.Советская,25|                                          700201  филиал ВКБ|
|        37|                 г.Кобрин РКБО|                     225860, г.Кобрин пл. 700 лет Кобрину ,7|           301 223 049 0017 в РКЦ  АКБ Приорбанка г.Кобрин. |
|        38|             Кобрин В/Ч 64683 |                                         г.Кобрин, В/Ч 64683|                                                            |
|        39|  г.Кобрин ПТО "Харчаванне"   |                                      г.Кобрин, ул.Ленина,11|                                      441852 в КВБ г.Кобрина|
